"Savivaldybe","Plotas","Gyventoju skaicius","Tankumas","Meras","Partija","Islaidos"
"Akmenės rajonas",844,28204,33.4,"Vitalijus Mitrofanovas","LSDP",7.29
"Alytaus miestas",40,68835,1720.9,"Feliksas Džiautas","LSDP",4.63
"Alytaus rajonas",1404,31420,22.4,"Algirdas Vrubliauskas","TS-LKD",10.17
"Anykščių rajonas",1765,32629,18.5,"Sigutis Obelevičius","TS-LKD",8.4
"Birštono savivaldybė",124,5256,42.4,"Antanas Zenkevičius","LSDP",16.48
"Biržų rajonas",1476,33491,22.7,"Regimantas Ramonas","LSDP",7.16
"Druskininkų savivaldybė",454,24507,54,"Ričardas Malinauskas","LSDP",9.24
"Elektrėnų savivaldybė",509,28093,55.2,"Arvydas Vyšniauskas","LSDP",12.19
"Ignalinos rajonas",1447,20624,14.3,"Bronis Ropė","LVLS",10.59
"Jonavos rajonas",944,51941,55,"Bronislovas Liutkus","LVLS",6.88
"Joniškio rajonas",1152,30429,26.4,"Romaldas Gadeikis","LSDP",10.01
"Jurbarko rajonas",1507,35622,23.6,"Ričardas Juška","LICS",7.41
"Kaišiadorių rajonas",1087,36290,33.4,"Romualdas Urmilevičius","LS",9.78
"Kalvarijos savivaldybė",441,13490,30.6,"Jonas Ščeponis","LSDP",9.7
"Kauno miestas",157,358111,2281,"Andrius Kupčinskas","TS-LKD",8.79
"Kauno rajonas",1496,85721,57.3,"Valerijus Makūnas","LSDP",14.96
"Kazlų Rūdos savivaldybė",555,14615,26.3,"Vytautas Kanevičius","LICS",9.72
"Kėdainių rajonas",1677,63563,37.9,"Nijolė Naujokienė","PDP",7.21
"Kelmės rajonas",1705,38615,22.6,"Kostas Arvasevičius","LSDP",7.7
"Klaipėdos miestas",98,185936,1897.3,"Rimantas Taraškevičius","LICS",4.4
"Klaipėdos rajonas",1336,49295,36.9,"Vaclovas Dačkauskas","LSDP",10.74
"Kretingos rajonas",989,45956,46.5,"Juozas Mažeika","TS-LKD",11.48
"Kupiškio rajonas",1080,23444,21.7,"Jonas Jarutis","LVLS",7.32
"Lazdijų rajonas",1309,25233,19.3,"Artūras Margelis","TS-LKD",10.65
"Marijampolės savivaldybė",755,69297,91.8,"Vidmantas Brazys","LSDP",7.95
"Mažeikių rajonas",1220,65554,53.7,"Vilhelmas Džiugelis","TS-LKD",8.61
"Molėtų rajonas",1367,23539,17.2,"Algimantas Žiukas","TS-LKD",11.13
"Neringos savivaldybė",90,3132,34.8,"Vigantas Giedraitis","TS-LKD",24.76
"Pagėgių savivaldybė",537,11577,21.6,"Virginijus Komskis","TT",18.3
"Pakruojo rajonas",1316,27883,21.2,"Saulius Gegieckas","LSDP",8.83
"Palangos miestas",79,17632,223.2,,,18.11
"Panevėžio miestas",50,114582,2291.6,"Vitalijus Satkevičius","TS-LKD",6.98
"Panevėžio rajonas",2179,43190,19.8,"Povilas Žagunis","LVLS",11.01
"Pasvalio rajonas",1289,32961,25.6,"Vitalijus Satkevičius","TS-LKD",8.53
"Plungės rajonas",1105,43580,39.4,"Elvyra Valerija Lapukienė","TS-LKD",8.26
"Prienų rajonas",1031,34025,33,"Alvydas Vaicekauskas","LSDP",11.3
"Radviliškio rajonas",1635,49705,30.4,"Antanas Čepononis","TS-LKD",6.83
"Raseinių rajonas",1573,42377,26.9,"Dainius Šadauskis","LS",8.38
"Rietavo savivaldybė",586,10208,17.4,"Antanas Černeckis","LICS",12.83
"Rokiškio rajonas",1807,39451,21.8,"Almantas Blažys","TS-LKD",7.69
"Skuodo rajonas",911,24148,26.5,"Stasys Vainoras","LS",11.45
"Šakių rajonas",1453,36805,25.3,"Juozas Bertašius","LVLS",8.28
"Šalčininkų rajonas",1491,37852,25.4,"Zdzislav Palevič","LLRA",12.2
"Šiaulių miestas",81,128397,1585.1,"Genadijus Mikšys","LICS",6.91
"Šiaulių rajonas",1807,50480,27.9,"Algimantas Gaubas","LSDP",10.03
"Šilalės rajonas",1188,30431,25.6,"Albinas Ežerskis","LSDP",10.3
"Šilutės rajonas",1706,53373,31.3,"Virgilijus Pozingis","LVLS",10.03
"Širvintų rajonas",906,19367,21.4,"Kęstutis Pakalnis","LICS",13.08
"Švenčionių rajonas",1692,31130,18.4,"Vytautas Vigelis","LSDP",10.54
"Tauragės rajonas",1179,51049,43.3,"Pranas Petrošius","LSDP",8.85
"Telšių rajonas",1439,55231,38.4,"Valdemaras Ramšas","TT",10.05
"Trakų rajonas",1208,36429,30.2,"Edmundas Zenonas Malūkas","NS",12.61
"Ukmergės rajonas",1395,46303,33.2,"Algirdas Kopūstas","LVLS",8.69
"Utenos rajonas",1230,48378,39.3,"Alvydas Katinas","LSDP",6.89
"Varėnos rajonas",2218,28960,13.1,"Vidas Mikalauskas","LICS",8.07
"Vilkaviškio rajonas",1259,48380,38.4,"Algirdas Bagušinskas","LSDP",8.01
"Vilniaus miestas",401,554409,1382.6,"Raimundas Alekna","TS-LKD",7.45
"Vilniaus rajonas",2129,94171,44.2,"Marija Rekst","LLRA",16.73
"Visagino savivaldybė",58,28576,492.7,"Vytautas Račkauskas","LS",9.09
"Zarasų rajonas",1334,20997,15.7,"Arnoldas Abramavičius","TS-LKD",13.52
